model,accuracy,precision,recall,f1_score,auc
LogisticRegression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9957010582010581
SVC,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
KNN,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9788359788359788
DecisionTree,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9156746031746031
